@relation 'customer_churn-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-R3,6,7,10,12-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0'

@attribute CashbackAmount numeric
@attribute DaySinceLastOrder numeric
@attribute OrderCount numeric
@attribute CouponUsed numeric
@attribute OrderAmountHikeFromlastYear numeric
@attribute Complain numeric
@attribute NumberOfAddress numeric
@attribute MaritalStatus=Married numeric
@attribute MaritalStatus=Divorced numeric
@attribute MaritalStatus=Single numeric
@attribute SatisfactionScore numeric
@attribute PreferedOrderCat=Grocery numeric
@attribute PreferedOrderCat=Fashion numeric
@attribute PreferedOrderCat=Others numeric
@attribute 'PreferedOrderCat=Mobile Phone' numeric
@attribute PreferedOrderCat=Mobile numeric
@attribute 'PreferedOrderCat=Laptop & Accessory' numeric
@attribute NumberOfDeviceRegistered numeric
@attribute HourSpendOnApp numeric
@attribute Gender=Male numeric
@attribute 'PreferredPaymentMode=Credit Card' numeric
@attribute PreferredPaymentMode=COD numeric
@attribute 'PreferredPaymentMode=E wallet' numeric
@attribute 'PreferredPaymentMode=Cash on Delivery' numeric
@attribute PreferredPaymentMode=CC numeric
@attribute PreferredPaymentMode=UPI numeric
@attribute 'PreferredPaymentMode=Debit Card' numeric
@attribute WarehouseToHome numeric
@attribute CityTier numeric
@attribute PreferredLoginDevice=Computer numeric
@attribute PreferredLoginDevice=Phone numeric
@attribute 'PreferredLoginDevice=Mobile Phone' numeric
@attribute Tenure numeric
@attribute Churn {0,1}

@data
178,8,8,3,17,1,2,1,0,0,1,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,8,3,0,0,1,16,0
173,3,3,3,23,0,8,1,0,0,1,0,0,0,0,0,1,5,3,1,0,0,0,0,0,0,1,7,1,0,0,1,1,0
169,5,2,1,17,0,3,1,0,0,3,0,0,0,1,0,0,2,4,1,1,0,0,0,0,0,0,16,1,0,0,1,1,0
252,9,3.008004,1,17,0,3,0,1,0,2,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,7,1,0,0,1,13,0
113,0,1,0,13,0,2,1,0,0,3,0,0,0,1,0,0,3,3,1,0,0,0,1,0,0,0,13,1,1,0,0,10.189899,0
122,0,1,0,17,0,4,0,1,0,2,0,0,0,0,1,0,4,3,1,0,0,0,0,0,0,1,9,1,0,1,0,10.189899,0
155,1,2,1,14,0,3,0,0,1,1,0,0,0,1,0,0,4,3,1,1,0,0,0,0,0,0,14,1,0,0,1,8,0
160,2,1,1,11,0,5,0,0,1,3,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,1,6,2,0,0,1,17,0
166,10,3,3,13,0,3,1,0,0,3,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,15,1,1,0,0,9,0
222,4.543491,2,1,12,0,6,0,1,0,2,0,1,0,0,0,0,5,3,1,1,0,0,0,0,0,0,10,3,1,0,0,10,0
154,8,6,3,24,0,3,1,0,0,3,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,1,32,2,0,0,1,1,0
144,7,7,7,12,0,3,1,0,0,5,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,18,1,0,1,0,13,0
178,8,8,5,24,0,9,1,0,0,2,0,0,0,0,0,1,4,3,1,0,0,1,0,0,0,0,34,3,0,0,1,4,0
152,3,1,1,12,0,6,1,0,0,3,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,14,1,0,0,1,5,0
133,2,1,1,13,0,2,0,0,1,4,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,10,1,0,1,0,0,0
155,3,1,1,11,0,8,0,0,1,3,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,1,6,3,1,0,0,30,0
236,0,3.008004,0,18,1,4,0,0,1,2,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1,12,3,0,0,1,14,0
234,5,3.008004,1,19,1,9,1,0,0,1,0,1,0,0,0,0,5,4,0,0,0,1,0,0,0,0,14,3,0,0,1,27,0
166,2,2,2,16,0,5,0,0,1,4,0,0,0,0,0,1,4,3,0,0,0,0,0,0,1,0,10,1,0,0,1,11,0
121,1,2,1,18,0,2,0,0,1,4,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,7,1,0,1,0,10.189899,0
124,0,1,1,13,0,2,0,1,0,3,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,15.639896,3,0,1,0,8,0
222,4.543491,2,1,12,0,6,0,1,0,2,0,1,0,0,0,0,5,3,1,1,0,0,0,0,0,0,10,3,1,0,0,10,0
